,date,e4,e5,e6,e7
379,Jul-01,4,2,0,0
380,Aug-01,5,0,0,0
381,Sep-01,3,0,0,0
382,Oct-01,2,1,1,0
383,Nov-01,4,0,0,0
384,Dec-01,1,0,0,0
385,Jan-02,4,0,0,0
386,Feb-02,2,0,0,0
387,Mar-02,7,0,0,0
388,Apr-02,3,1,0,0
389,May-02,8,0,0,0
390,Jun-02,4,1,0,0
391,Jul-02,5,0,0,0
392,Aug-02,8,1,0,0
393,Sep-02,2,0,0,0
394,Oct-02,3,0,0,0
395,Nov-02,10,0,0,0
396,Dec-02,0,0,0,0
397,Jan-03,3,2,0,0
398,Feb-03,2,0,0,0
399,Mar-03,1,0,0,0
400,Apr-03,1,0,0,0
401,May-03,7,2,0,0
402,Jun-03,3,0,0,0
403,Jul-03,10,3,2,0
404,Aug-03,9,0,0,0
405,Sep-03,4,0,0,0
406,Oct-03,5,1,0,0
407,Nov-03,9,2,0,0
408,Dec-03,2,1,0,0
409,Jan-04,3,0,0,0
410,Feb-04,3,0,0,0
411,Mar-04,15,4,1,0
412,Apr-04,6,2,0,0
413,May-04,9,2,0,0
414,Jun-04,5,0,0,0
415,Jul-04,11,3,1,0
416,Aug-04,7,2,0,0
417,Sep-04,4,0,0,0
418,Oct-04,10,1,0,0
419,Nov-04,4,0,0,0
420,Dec-04,7,1,0,0
421,Jan-05,4,1,0,0
422,Feb-05,1,0,0,0
423,Mar-05,4,0,0,0
424,Apr-05,8,3,1,0
425,May-05,6,0,0,0
426,Jun-05,3,0,0,0
427,Jul-05,4,0,0,0
428,Aug-05,6,2,0,0
429,Sep-05,3,0,0,0
430,Oct-05,8,0,0,0
431,Nov-05,3,0,0,0
432,Dec-05,4,0,0,0
433,Jan-06,7,1,0,0
434,Feb-06,12,2,0,0
435,Mar-06,11,1,0,0
436,Apr-06,7,2,0,0
437,May-06,5,0,0,0
438,Jun-06,2,0,0,0
439,Jul-06,3,1,0,0
440,Aug-06,6,1,0,0
441,Sep-06,2,0,0,0
442,Oct-06,2,0,0,0
443,Nov-06,3,0,0,0
444,Dec-06,2,0,0,0
445,Jan-07,1,0,0,0
446,Feb-07,3,0,0,0
447,Mar-07,7,0,0,0
448,Apr-07,2,0,0,0
449,May-07,9,4,1,0
450,Jun-07,4,1,1,0
451,Jul-07,6,0,0,0
452,Aug-07,3,0,0,0
453,Sep-07,1,0,0,0
454,Oct-07,2,0,0,0
455,Nov-07,4,0,0,0
456,Dec-07,1,0,0,0
457,Jan-08,17,3,2,0
458,Feb-08,4,0,0,0
459,Mar-08,3,0,0,0
460,Apr-08,3,0,0,0
461,May-08,286,45,7,1
462,Jun-08,42,3,0,0
463,Jul-08,24,3,1,0
464,Aug-08,48,9,4,0
465,Sep-08,18,4,1,0
466,Oct-08,20,4,1,0
467,Nov-08,13,1,0,0
468,Dec-08,9,2,0,0
469,Jan-09,5,0,0,0
470,Feb-09,4,0,0,0
471,Mar-09,5,0,0,0
472,Apr-09,9,0,0,0
473,May-09,3,0,0,0
474,Jun-09,8,2,0,0
475,Jul-09,10,3,2,0
476,Aug-09,6,0,0,0
477,Sep-09,4,1,0,0
478,Oct-09,5,0,0,0
479,Nov-09,7,3,0,0
480,Dec-09,5,0,0,0
481,Jan-10,5,1,0,0
482,Feb-10,7,1,0,0
483,Mar-10,10,2,1,0
484,Apr-10,3,2,0,0
485,May-10,5,1,0,0
486,Jun-10,8,0,0,0
487,Jul-10,5,0,0,0
488,Aug-10,3,0,0,0
489,Sep-10,2,0,0,0
490,Oct-10,5,0,0,0
